Name,AshOnly,AshFDwPM,BDns,DWpM,PDW,WWP,BLen,BMax,BThk,SDia,SLen,Category,Group
SL18-OI-4,-0.016208767,0.008222188,-0.006185796,0.006056411,0.009422843,0.001468649,0.097957204,0.262269321,-0.039492301,0.155765679,0.055005191,Founders,SPs
SL18-OI-5,0.003944918,-0.024892503,0.000596754,-0.045331366,0.008374685,-0.214723275,-0.358600179,0.09257448,-0.125228416,-0.334706883,-0.54536856,Founders,SPs
SL18-OI-6,-0.024917386,0.077203239,-0.032463594,0.068690297,0.01133134,0.254008557,0.328088335,0.240269559,-0.001644619,0.187939371,0.720674434,Founders,SPs
SL18-OI-11,-0.011198068,0.00778938,0.016646992,0.008173515,0.003071956,0.049316097,0.033912133,0.402530404,0.025608678,0.176232165,0.206669876,Founders,SPs
SL18-OI-15,0.010902509,0.014109217,0.048639096,0.115145159,0.00247154,0.40427356,0.323513605,0.198835878,-0.001447627,0.214236479,0.573670879,Founders,SPs
SL18-OI-16,-0.0256765,-0.034314231,0.016599296,-0.02822741,0.007630751,-0.070416402,-0.261863786,-0.210317085,-0.050421593,-0.282537204,-0.19682196,Founders,SPs
SL18-OI-17,-0.001188816,0.019610471,-0.01396133,-0.003007201,-0.001566901,-0.007253612,-0.110851993,0.088848898,-0.115436634,0.019671259,-0.129681218,Founders,SPs
SL18-OI-18,-0.021155007,-0.013821823,-0.026492742,0.009470272,0.011663561,-0.068626748,-0.012259805,0.153424933,-0.029436901,-0.161411933,-0.649422948,Founders,SPs
SL18-LD-1,0.001203277,0.005708946,-0.017934085,-0.079439566,0.013906997,-0.283139821,-0.186880436,0.311137809,-0.101007766,0.088971873,0.532532423,Founders,SPs
SL18-LD-3,0.008995628,0.007759626,-0.003058281,-0.036956893,0.004311926,-0.057652306,-0.008373789,0.316246425,-0.05654521,0.155332453,0.534573916,Founders,SPs
SL18-LD-4,0.008418699,0.010342636,-0.014839491,-0.051704143,0.004418762,-0.113058586,0.046098235,0.114555189,0.007586696,0.173847273,0.54730615,Founders,SPs
SL18-LD-5,0.000410703,0.007045831,-0.021731018,-0.053464345,0.000373596,-0.072849487,-0.383492359,0.314483164,-0.049037903,-0.012270543,0.013547043,Founders,SPs
SL18-LD-9,0.004250097,0.007818097,-0.052033593,-0.03152624,0.006680691,-0.127647192,-0.279395187,0.244498565,-0.075679542,0.217151693,0.442803032,Founders,SPs
SL18-LD-10,0.021843205,0.00976236,0.011138819,0.006088069,0.004899751,-0.004567125,-0.153730073,0.107320664,-0.067277508,0.315477473,0.705786537,Founders,SPs
SL18-LD-13,0.000762021,-0.02295005,0.03218784,-0.014908921,0.00856296,-0.054429469,-0.257113278,-0.003353737,-0.040589405,0.050433651,0.357245143,Founders,SPs
SL18-FW-2,-0.000890182,0.017084734,0.005957283,0.033805808,0.000248461,0.122491972,0.195762757,-0.01130722,0.013707468,0.077500215,0.214464882,Founder_SP_without_progeny,SPs
SL18-FI-1,0.000147439,0.016887551,0.010834457,0.037301113,-0.000459978,0.125651631,0.213539762,-0.01875107,0.012247808,0.075062071,0.195303969,Founder_SP_without_progeny,SPs
SL18-FI-2,0.001900487,0.014925868,0.005373716,0.035404157,-0.00128513,0.125531954,0.20411674,-0.024778888,0.01001787,0.065401071,0.156450117,Founder_SP_without_progeny,SPs
SL18-CC-1,-0.018418894,-0.007332804,0.000628324,0.001402484,0.00454777,0.018239284,-0.147930459,-0.097799564,0.008437644,-0.053718778,-0.37018613,Founders,SPs
SL18-CC-2,-0.008155774,0.026281425,0.000321609,0.046386482,-0.003083761,0.185353852,-0.027002225,-0.240438432,0.014941723,0.161367319,0.299878705,Founders,SPs
SL18-CC-3,0.001163651,0.021027219,-0.006830739,0.046801731,0.006764575,0.12781758,0.187269073,0.061778841,0.051723984,0.069723009,-0.01033216,Founders,SPs
SL18-CC-4,-0.001717574,-0.004162738,0.006549043,0.002102777,-0.000204682,0.005979338,-0.15943045,-0.121320835,-0.016433177,-0.063012163,-0.043084167,Founders,SPs
SL18-CC-5,-0.003701917,0.024830828,0.00068214,0.049552771,-0.00398034,0.217557464,0.197534638,0.047264237,0.124467417,0.120365418,-0.07596962,Founders,SPs
SL18-CC-6,-0.004525261,-0.015306317,0.002712567,-0.01893307,0.000106189,-0.006973314,0.099803536,-0.14575419,0.025354805,-0.031976507,-0.283598523,Founders,SPs
SL18-CC-7,-0.00527306,0.020113466,-0.001263262,0.039967988,-0.000605957,0.17181972,-0.022543658,-0.109970369,0.055239513,0.176661158,0.25306332,Founders,SPs
