"","wetWgtPerM","percDryWgt","dryWgtPerM","Ash","AshFDwPM","densityBlades","Indiv"
"grm4._1",0.360931514841692,-0.0136182305312959,0.0637541861969446,0.030183854522742,-0.000305047823150847,0.0975349401702327,"SA18-CB-10-FG1xSL18-SF-19-MG2"
"grm4._2",-0.103966962834766,0.0119764643062956,-0.0118070045972094,-0.0185861854307376,-0.00128205026942376,-0.0953972984766831,"SL18-LD-10-FG1xSL18-OI-4-MG1"
"grm4._3",0.210707691977406,-0.020003490130655,0.05216932843285,0.0533298284722321,0.00366403734639003,0.582174447883286,"SL18-NL-6-FG1xSL18-OI-11-MG2"
"grm4._4",0.422281544104009,-0.021381887112264,0.0918943686105721,0.0602039161229196,0.00535106574172318,0.676353692400369,"SL18-NL-6-FG1xSL18-OI-14-MG2"
"grm4._5",0.572236445551902,-0.0268658090480524,0.114521923821667,0.134117456704566,0.00694417968170676,0.625888776078622,"SL18-NL-6-FG1xSL18-OI-15-MG1"
"grm4._6",0.342936152090066,-0.0223632967688485,0.0587164004201864,-0.0392733953762376,0.00632302989769677,0.601094084464124,"SL18-NL-6-FG1xSL18-OI-16-MG1"
"grm4._7",0.370772388543741,-0.0120935041922827,0.0833951003951617,0.0196933952237644,0.00394988317317205,0.274517880895376,"SL18-NL-6-FG1xSL18-SF-17-MG1"
"grm4._8",0.440561738167897,-0.0206967319934616,0.086439403299843,0.0433035655807594,0.00436606959199398,0.557935384764153,"SL18-NL-6-FG1xSL18-SF-19-MG2"
"grm4._9",0.184144313718525,0.00259136543073937,0.0628545473806067,0.130333748666937,0.000406491279585699,0.0719742836817342,"SL18-LD-10-FG2xSA18-CB-7-MG2"
"grm4._10",-0.314874036381414,0.0217171865724814,-0.0455872558294223,0.142117026856049,5.39032173625307e-05,-0.00523930508144799,"SL18-LD-10-FG2xSL18-NL-3-MG2"
"grm4._11",0.293914175159446,-0.0304800426417605,0.035206423140774,0.0386485928022601,0.00275604630092881,0.263523736635594,"SL18-NL-9-FG2xSA18-CB-7-MG1"
"grm4._12",-0.0123023149480856,0.00821364898007857,-0.00546130377532888,-0.00923247635313249,0.00219815575908175,0.202406508647143,"SL18-NL-9-FG2xSL18-SF-19-MG1"
"grm4._13",0.319460349018164,-0.0189087413333963,0.047059095839307,-0.0105357687059178,0.00261798151591446,0.199849475041142,"SL18-OI-11-FG1xSL18-SF-15-MG2"
"grm4._14",0.283169031331973,-0.00952652933814948,0.042749455826514,-0.0333687483479233,0.00648457384253183,0.079143683772322,"SL18-OI-15-FG1xSA18-CB-2-MG3"
"grm4._15",0.0411873495781543,-0.00433555264463187,0.00221564767936316,-0.00692879940849485,0.00503353334758702,0.103182161178622,"SL18-OI-15-FG1xSL18-NL-5-MG1"
"grm4._16",0.500672228937812,-0.0174699707327348,0.0899058242461754,0.000264422335348333,0.00722022751591603,0.316816340246077,"SL18-OI-15-FG1xSL18-SF-15-MG1"
"grm4._17",0.16821719328711,-0.0181970751511372,0.00693804014789007,0.0384691718378433,0.00468552472249225,0.0799103540445917,"SL18-OI-16-FG3xSA18-CB-4-MG3"
"grm4._18",-0.163976076828965,-0.000394050869305434,-0.0252086636461971,0.0217408527994699,0.00439413825296245,0.185998689024358,"SL18-OI-16-FG3xSA18-CB-5-MG3"
"grm4._19",-0.0499784617941468,0.0250903772887236,-0.00962262821412318,-0.000956296637023545,-0.00774802148430249,0.214707068836018,"SL18-LD-13-FG2xSL18-LD-13-MG2"
"grm4._20",-0.0218184472694071,0.00432323496347905,-0.0176087396893589,-0.0404441376951969,0.000229709721500583,0.084752254441555,"SL18-OI-16-FG3xSL18-LD-3-MG2"
"grm4._21",0.0135342706562624,-0.00736277183808465,-0.00141308185189846,-0.163592967028909,0.00189698995334033,0.241096416712403,"SL18-OI-16-FG3xSL18-NL-6-MG1"
