Accession	Female_Parent	Male_Parent	Cross_Type
LIS-F1-3			
SA18-CB-FG5			
SA18-CB-S1			
SA18-CB-S10			
SA18-CB-S10-FG1	SA18-CB-S10	SA18-CB-S10	self
SA18-CB-S10-FG14	SA18-CB-S10	SA18-CB-S10	self
SA18-CB-S10-FG15	SA18-CB-S10	SA18-CB-S10	self
SA18-CB-S10-FG2	SA18-CB-S10	SA18-CB-S10	self
SA18-CB-S10-FG3	SA18-CB-S10	SA18-CB-S10	self
SA18-CB-S10-FG4	SA18-CB-S10	SA18-CB-S10	self
SA18-CB-S10-FG5	SA18-CB-S10	SA18-CB-S10	self
SA18-CB-S10-FG6	SA18-CB-S10	SA18-CB-S10	self
SA18-CB-S10-MG1	SA18-CB-S10	SA18-CB-S10	self
SA18-CB-S10-MG2	SA18-CB-S10	SA18-CB-S10	self
SA18-CB-S10-MG3	SA18-CB-S10	SA18-CB-S10	self
SA18-CB-S10-MG4	SA18-CB-S10	SA18-CB-S10	self
SA18-CB-S10-MG5	SA18-CB-S10	SA18-CB-S10	self
SA18-CB-S10-MG6	SA18-CB-S10	SA18-CB-S10	self
SA18-CB-S18			
SA18-CB-S18-FG5	SA18-CB-S18	SA18-CB-S18	self
SA18-CB-S1-FG1	SA18-CB-S1	SA18-CB-S1	self
SA18-CB-S1-FG11	SA18-CB-S1	SA18-CB-S1	self
SA18-CB-S1-FG2	SA18-CB-S1	SA18-CB-S1	self
SA18-CB-S1-FG3	SA18-CB-S1	SA18-CB-S1	self
SA18-CB-S1-FG4	SA18-CB-S1	SA18-CB-S1	self
SA18-CB-S1-FG5	SA18-CB-S1	SA18-CB-S1	self
SA18-CB-S1-FG6	SA18-CB-S1	SA18-CB-S1	self
SA18-CB-S1-MG1	SA18-CB-S1	SA18-CB-S1	self
SA18-CB-S1-MG11	SA18-CB-S1	SA18-CB-S1	self
SA18-CB-S1-MG12	SA18-CB-S1	SA18-CB-S1	self
SA18-CB-S1-MG13	SA18-CB-S1	SA18-CB-S1	self
SA18-CB-S1-MG2	SA18-CB-S1	SA18-CB-S1	self
SA18-CB-S1-MG3	SA18-CB-S1	SA18-CB-S1	self
SA18-CB-S2			
SA18-CB-S2-FG1	SA18-CB-S2	SA18-CB-S2	self
SA18-CB-S2-FG2	SA18-CB-S2	SA18-CB-S2	self
SA18-CB-S2-FG3	SA18-CB-S2	SA18-CB-S2	self
SA18-CB-S2-MG1	SA18-CB-S2	SA18-CB-S2	self
SA18-CB-S2-MG2	SA18-CB-S2	SA18-CB-S2	self
SA18-CB-S2-MG3	SA18-CB-S2	SA18-CB-S2	self
SA18-CB-S3			
SA18-CB-S3-FG1	SA18-CB-S3	SA18-CB-S3	self
SA18-CB-S3-FG2	SA18-CB-S3	SA18-CB-S3	self
SA18-CB-S3-FG3	SA18-CB-S3	SA18-CB-S3	self
SA18-CB-S3-MG1	SA18-CB-S3	SA18-CB-S3	self
SA18-CB-S3-MG2	SA18-CB-S3	SA18-CB-S3	self
SA18-CB-S3-MG3	SA18-CB-S3	SA18-CB-S3	self
SA18-CB-S4			
SA18-CB-S4-FG1	SA18-CB-S4	SA18-CB-S4	self
SA18-CB-S4-FG2	SA18-CB-S4	SA18-CB-S4	self
SA18-CB-S4-FG3	SA18-CB-S4	SA18-CB-S4	self
SA18-CB-S4-FG6	SA18-CB-S4	SA18-CB-S4	self
SA18-CB-S4-MG1	SA18-CB-S4	SA18-CB-S4	self
SA18-CB-S4-MG2	SA18-CB-S4	SA18-CB-S4	self
SA18-CB-S4-MG3	SA18-CB-S4	SA18-CB-S4	self
SA18-CB-S4-MG5	SA18-CB-S4	SA18-CB-S4	self
SA18-CB-S4-MG6	SA18-CB-S4	SA18-CB-S4	self
SA18-CB-S5			
SA18-CB-S5-FG1	SA18-CB-S5	SA18-CB-S5	self
SA18-CB-S5-FG2	SA18-CB-S5	SA18-CB-S5	self
SA18-CB-S5-FG3	SA18-CB-S5	SA18-CB-S5	self
SA18-CB-S5-FG4	SA18-CB-S5	SA18-CB-S5	self
SA18-CB-S5-FG5	SA18-CB-S5	SA18-CB-S5	self
SA18-CB-S5-FG6	SA18-CB-S5	SA18-CB-S5	self
SA18-CB-S5-MG1	SA18-CB-S5	SA18-CB-S5	self
SA18-CB-S5-MG2	SA18-CB-S5	SA18-CB-S5	self
SA18-CB-S5-MG3	SA18-CB-S5	SA18-CB-S5	self
SA18-CB-S5-MG5	SA18-CB-S5	SA18-CB-S5	self
SA18-CB-S6			
SA18-CB-S7			
SA18-CB-S7-FG1	SA18-CB-S7	SA18-CB-S7	self
SA18-CB-S7-FG2	SA18-CB-S7	SA18-CB-S7	self
SA18-CB-S7-FG3	SA18-CB-S7	SA18-CB-S7	self
SA18-CB-S7-FG5	SA18-CB-S7	SA18-CB-S7	self
SA18-CB-S7-MG1	SA18-CB-S7	SA18-CB-S7	self
SA18-CB-S7-MG2	SA18-CB-S7	SA18-CB-S7	self
SA18-CB-S7-MG3	SA18-CB-S7	SA18-CB-S7	self
SA18-CB-S7-MG4	SA18-CB-S7	SA18-CB-S7	self
SA18-CB-S7-MG5	SA18-CB-S7	SA18-CB-S7	self
SA18-CB-S8			
SA18-CB-S8-FG1	SA18-CB-S8	SA18-CB-S8	self
SA18-CB-S8-FG2	SA18-CB-S8	SA18-CB-S8	self
SA18-CB-S8-FG3	SA18-CB-S8	SA18-CB-S8	self
SA18-CB-S8-MG1	SA18-CB-S8	SA18-CB-S8	self
SA18-CB-S8-MG2	SA18-CB-S8	SA18-CB-S8	self
SA18-CB-S8-MG3	SA18-CB-S8	SA18-CB-S8	self
SA18-CB-S9			
SA18-CB-S9-FG1	SA18-CB-S9	SA18-CB-S9	self
SA18-CB-S9-FG2	SA18-CB-S9	SA18-CB-S9	self
SA18-CB-S9-FG3	SA18-CB-S9	SA18-CB-S9	self
SA18-CB-S9-MG1	SA18-CB-S9	SA18-CB-S9	self
SA18-CB-S9-MG2	SA18-CB-S9	SA18-CB-S9	self
SA18-CB-S9-MG3	SA18-CB-S9	SA18-CB-S9	self
SA18-GS-S1			
SA18-GS-S10			
SA18-GS-S11			
SA18-GS-S12			
SA18-GS-S2			
SA18-GS-S3			
SA18-GS-S4			
SA18-GS-S5			
SA18-GS-S6			
SA18-GS-S7			
SA18-GS-S8			
SA18-GS-S9			
SA18-ME-S1-FG1			
SA18-ME-S1-FG2			
SA18-ME-S1-MG1			
SA18-ME-S2-FG2			
SA18-ME-S2-MG1			
SA18-ME-S2-MG2			
SA18-NB-S1			
SA18-NB-S2			
SA18-NB-S3			
SA18-NB-S4			
SA18-NB-S5			
SA18-NB-S6			
SL18-AK-S1			
SL18-AK-S10			
SL18-AK-S10-FG	SL18-AK-S10	SL18-AK-S10	self
SL18-AK-S10-FG21	SL18-AK-S10	SL18-AK-S10	self
SL18-AK-S10-FG22	SL18-AK-S10	SL18-AK-S10	self
SL18-AK-S10-MG	SL18-AK-S10	SL18-AK-S10	self
SL18-AK-S10-MG21	SL18-AK-S10	SL18-AK-S10	self
SL18-AK-S10-MG22	SL18-AK-S10	SL18-AK-S10	self
SL18-AK-S11			
SL18-AK-S11-FG	SL18-AK-S11	SL18-AK-S11	self
SL18-AK-S11-FG21	SL18-AK-S11	SL18-AK-S11	self
SL18-AK-S11-MG	SL18-AK-S11	SL18-AK-S11	self
SL18-AK-S11-MG21	SL18-AK-S11	SL18-AK-S11	self
SL18-AK-S1-FG1	SL18-AK-S1	SL18-AK-S1	self
SL18-AK-S1-FG2	SL18-AK-S1	SL18-AK-S1	self
SL18-AK-S1-FG3	SL18-AK-S1	SL18-AK-S1	self
SL18-AK-S1-FG4	SL18-AK-S1	SL18-AK-S1	self
SL18-AK-S1-FG5	SL18-AK-S1	SL18-AK-S1	self
SL18-AK-S1-FG6	SL18-AK-S1	SL18-AK-S1	self
SL18-AK-S1-MG1	SL18-AK-S1	SL18-AK-S1	self
SL18-AK-S1-MG2	SL18-AK-S1	SL18-AK-S1	self
SL18-AK-S1-MG3	SL18-AK-S1	SL18-AK-S1	self
SL18-AK-S1-MG4	SL18-AK-S1	SL18-AK-S1	self
SL18-AK-S1-MG5	SL18-AK-S1	SL18-AK-S1	self
SL18-AK-S1-MG6	SL18-AK-S1	SL18-AK-S1	self
SL18-AK-S2			
SL18-AK-S2-FG1	SL18-AK-S2	SL18-AK-S2	self
SL18-AK-S2-FG2	SL18-AK-S2	SL18-AK-S2	self
SL18-AK-S2-FG3	SL18-AK-S2	SL18-AK-S2	self
SL18-AK-S2-FG4	SL18-AK-S2	SL18-AK-S2	self
SL18-AK-S2-FG5	SL18-AK-S2	SL18-AK-S2	self
SL18-AK-S2-FG6	SL18-AK-S2	SL18-AK-S2	self
SL18-AK-S2-MG1	SL18-AK-S2	SL18-AK-S2	self
SL18-AK-S2-MG2	SL18-AK-S2	SL18-AK-S2	self
SL18-AK-S2-MG3	SL18-AK-S2	SL18-AK-S2	self
SL18-AK-S2-MG4	SL18-AK-S2	SL18-AK-S2	self
SL18-AK-S2-MG5	SL18-AK-S2	SL18-AK-S2	self
SL18-AK-S2-MG6	SL18-AK-S2	SL18-AK-S2	self
SL18-AK-S4			
SL18-AK-S4-G	SL18-AK-S4	SL18-AK-S4	self
SL18-AK-S4-G21	SL18-AK-S4	SL18-AK-S4	self
